id,age,gender,education,neuroticism,extraversion,openness,agreeableness,conscientiousness,impulsivity,sensation_seeking,alcohol_ever,alcohol_year,alcohol_week,caffeine_ever,caffeine_year,caffeine_week,cannabis_ever,cannabis_year,cannabis_week,cocaine_ever,cocaine_year,cocaine_week,meth_ever,meth_year,meth_week
73,45-54,M,Ed4,22,46,46,46,48,4,7,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0
74,45-54,M,Ed6,29,36,44,45,49,2,5,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0
75,65+,F,Ed2,25,27,26,33,44,5,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0
76,25-34,M,Ed7,34,41,35,38,39,5,5,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0
77,45-54,F,Ed3,32,35,35,46,46,0,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0
78,35-44,M,Ed7,37,28,42,35,39,3,0,1,1,0,1,1,1,1,0,0,1,0,0,0,0,0
79,35-44,M,Ed5,28,34,31,32,25,0,2,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0
80,35-44,M,Ed6,32,34,32,50,37,3,5,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0
81,65+,F,Ed9,36,42,49,42,51,3,5,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0
82,55-64,F,Ed7,28,31,46,37,41,6,7,1,1,1,1,1,1,1,0,0,1,0,0,1,0,0
83,55-64,M,Ed8,19,49,39,47,51,3,2,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0
84,55-64,F,Ed3,46,33,38,52,29,4,5,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0
85,45-54,M,Ed2,32,41,44,41,41,1,6,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0
86,25-34,F,Ed4,31,40,35,44,45,5,9,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0
87,35-44,M,Ed5,43,39,38,44,41,3,7,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0
88,55-64,M,Ed2,27,41,43,41,44,2,7,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0
89,35-44,F,Ed5,39,26,36,38,38,1,0,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0
90,35-44,F,Ed8,45,36,48,39,40,5,5,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0
91,35-44,F,Ed8,49,42,51,45,36,1,6,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0
92,35-44,M,Ed6,40,37,51,45,47,6,8,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0
93,25-34,M,Ed4,22,38,43,45,42,2,3,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0
94,65+,F,Ed2,34,34,39,48,45,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0
95,45-54,M,Ed8,29,36,39,47,41,1,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0
96,45-54,M,Ed8,31,42,53,32,49,5,5,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0
97,35-44,F,Ed7,37,32,48,42,47,1,1,1,1,0,1,1,1,1,0,0,1,0,0,0,0,0
98,45-54,F,Ed8,31,44,44,39,33,4,3,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0
99,35-44,M,Ed9,25,37,46,39,48,3,9,1,1,0,1,1,1,1,0,0,1,0,0,0,0,0
100,25-34,F,Ed7,29,58,51,49,52,5,7,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0
101,25-34,M,Ed8,26,55,50,33,39,3,9,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0
102,45-54,F,Ed2,30,43,34,42,48,1,3,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0
103,45-54,M,Ed4,30,48,55,34,42,2,9,1,1,1,1,1,1,1,0,0,1,1,0,0,0,0
104,45-54,F,Ed6,36,44,44,41,43,4,8,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0
105,25-34,F,Ed5,27,41,45,50,46,2,6,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0
106,35-44,M,Ed6,18,43,33,38,54,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0
107,25-34,F,Ed5,46,38,33,45,39,1,3,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0
108,35-44,F,Ed2,37,40,37,38,46,5,5,1,1,1,1,1,1,0,0,0,1,1,0,0,0,0
109,25-34,F,Ed7,31,53,47,44,47,8,9,1,1,1,1,1,1,1,1,0,1,1,0,0,0,0
110,45-54,F,Ed5,28,43,36,37,38,2,6,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0
111,45-54,M,Ed8,34,42,47,41,41,4,4,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0
112,25-34,M,Ed8,39,32,40,39,37,4,7,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0
113,25-34,F,Ed7,25,42,52,35,36,3,5,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0
114,45-54,F,Ed6,36,44,48,44,47,4,5,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0
115,35-44,M,Ed5,17,52,55,38,31,8,9,1,1,0,1,1,1,1,1,1,1,0,0,0,0,0
116,25-34,F,Ed6,38,36,40,45,49,1,0,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0
117,35-44,M,Ed6,42,36,47,31,39,5,5,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0
118,25-34,F,Ed7,51,45,55,44,33,5,7,1,1,1,1,1,1,1,0,0,1,1,0,0,0,0
119,35-44,F,Ed5,53,26,29,50,44,3,1,1,1,1,1,1,1,1,0,0,0,0,0,1,0,0
120,35-44,F,Ed7,32,44,39,45,51,3,3,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
121,25-34,F,Ed8,26,44,39,36,47,4,10,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0
122,35-44,F,Ed6,50,31,35,29,36,5,6,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0
123,55-64,M,Ed8,38,41,45,41,35,3,4,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0
124,25-34,F,Ed7,38,35,43,43,43,7,6,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0
125,45-54,M,Ed2,32,52,48,46,46,3,5,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0
126,55-64,M,Ed7,31,48,49,44,49,5,7,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0
127,45-54,M,Ed7,25,44,38,40,42,3,3,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0
128,45-54,F,Ed3,32,34,40,45,48,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
129,35-44,M,Ed9,36,44,47,44,44,3,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
130,45-54,F,Ed8,28,46,38,49,45,4,7,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0
131,45-54,F,Ed2,45,42,36,46,55,2,2,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0
132,45-54,F,Ed2,22,39,37,57,46,1,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0
133,35-44,F,Ed4,33,36,42,42,44,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0
134,35-44,M,Ed8,35,41,48,42,43,5,7,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0
135,25-34,F,Ed8,60,29,44,47,37,1,7,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0
136,35-44,F,Ed2,21,50,42,54,52,5,4,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0
137,45-54,F,Ed7,34,38,34,54,52,7,6,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0
138,45-54,F,Ed7,25,50,48,48,45,0,2,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0
139,55-64,M,Ed7,31,34,47,45,48,1,2,1,1,1,1,1,1,1,0,0,0,0,0,1,0,0
140,45-54,M,Ed2,35,42,42,49,40,3,5,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0
141,25-34,F,Ed7,54,42,55,49,40,2,5,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0
142,35-44,F,Ed2,28,44,38,51,46,1,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0
143,35-44,M,Ed3,31,38,37,45,41,5,7,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0
144,35-44,M,Ed6,21,48,42,51,54,2,4,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0
145,45-54,M,Ed6,37,32,43,35,42,3,8,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0
146,45-54,F,Ed7,31,41,38,56,47,7,7,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0
147,55-64,M,Ed6,38,31,45,40,40,4,2,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0
148,35-44,M,Ed8,30,43,41,44,48,3,4,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0
149,35-44,F,Ed6,35,32,28,37,44,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0
150,45-54,F,Ed7,28,52,41,55,52,3,2,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0
151,35-44,F,Ed5,33,48,47,47,49,4,6,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0
152,35-44,F,Ed7,41,28,33,46,35,2,3,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0
153,25-34,F,Ed7,31,29,41,39,37,0,1,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0
154,25-34,M,Ed7,29,46,34,48,47,3,4,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0
155,18-24,F,Ed5,59,30,51,40,46,3,8,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0
156,35-44,F,Ed7,42,30,37,45,40,2,3,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0
157,35-44,F,Ed5,48,40,44,50,43,4,4,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0
158,25-34,M,Ed2,26,47,33,40,47,3,8,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0
159,35-44,F,Ed7,33,41,44,41,45,6,9,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0
160,45-54,F,Ed5,31,36,42,44,44,3,2,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0
161,45-54,M,Ed8,46,45,49,42,44,3,7,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0
162,35-44,M,Ed7,29,42,40,54,39,2,2,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0
163,25-34,F,Ed7,38,40,45,53,48,1,5,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0
164,25-34,F,Ed5,53,40,44,49,43,3,3,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0
165,25-34,F,Ed9,37,42,35,52,49,1,4,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0
166,45-54,M,Ed8,33,38,44,40,52,1,3,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0
167,18-24,M,Ed5,50,31,51,27,27,6,6,1,1,1,1,1,1,1,1,0,1,1,0,0,0,0
168,25-34,F,Ed6,36,40,39,40,48,5,4,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0
169,25-34,F,Ed7,38,48,37,41,33,5,7,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0
170,18-24,F,Ed4,32,40,36,47,41,2,7,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0
171,45-54,M,Ed2,49,38,44,44,41,6,7,1,0,0,1,1,1,1,0,0,1,0,0,1,1,0
172,35-44,M,Ed8,32,46,58,48,36,7,10,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0
173,45-54,F,Ed6,41,36,43,40,47,4,2,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0
174,35-44,F,Ed7,46,44,54,44,44,5,7,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0
175,35-44,F,Ed6,46,36,30,48,30,6,6,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0
176,55-64,F,Ed7,42,40,49,51,43,4,6,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0
177,35-44,F,Ed7,34,36,40,35,38,1,2,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0
178,35-44,F,Ed7,50,40,37,37,49,2,4,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0
179,45-54,F,Ed7,44,33,43,48,41,4,5,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0
180,35-44,F,Ed6,40,39,39,50,37,1,2,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0
181,45-54,F,Ed6,39,44,35,45,48,4,6,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0
182,25-34,M,Ed9,24,37,44,47,48,2,2,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0
183,35-44,F,Ed5,39,45,44,51,47,1,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
184,18-24,F,Ed7,54,37,48,38,48,2,7,1,1,1,1,1,1,0,0,0,1,1,1,0,0,0
185,55-64,M,Ed4,36,34,39,47,44,1,2,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0
186,35-44,F,Ed7,39,44,46,48,41,3,4,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0
187,35-44,F,Ed8,29,49,47,45,53,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0
188,55-64,F,Ed2,28,34,32,50,46,1,1,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0
189,45-54,F,Ed2,40,30,31,47,40,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0
190,18-24,F,Ed8,32,40,43,44,47,2,3,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0
191,55-64,F,Ed6,23,40,40,47,40,2,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
192,18-24,M,Ed7,32,48,38,47,38,5,6,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0
193,25-34,F,Ed6,28,38,45,45,38,6,6,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0
194,45-54,F,Ed7,39,32,43,44,43,1,6,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0
195,25-34,F,Ed7,27,48,46,43,45,2,2,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0
196,55-64,F,Ed7,42,42,51,41,48,5,6,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0
197,18-24,M,Ed7,30,42,42,51,35,4,2,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0
198,55-64,F,Ed7,32,43,41,37,38,2,3,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0
199,25-34,F,Ed6,35,43,50,48,42,8,9,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0
200,45-54,F,Ed6,31,54,51,54,50,5,6,1,1,0,1,1,1,1,1,0,1,1,0,0,0,0
201,18-24,F,Ed7,30,41,40,50,51,5,9,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0
202,35-44,M,Ed8,34,33,42,34,50,2,3,1,1,1,1,1,1,1,0,0,1,1,0,0,0,0
203,35-44,F,Ed7,29,48,43,49,49,4,3,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0
204,65+,M,Ed1,22,32,29,37,37,1,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0
205,25-34,F,Ed7,34,46,54,43,44,3,7,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0
206,35-44,F,Ed2,34,47,48,37,34,8,7,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0
207,18-24,F,Ed7,35,48,50,44,45,6,6,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0
208,35-44,F,Ed6,29,43,42,47,41,3,7,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0
209,35-44,F,Ed7,37,40,45,41,42,5,9,1,1,0,1,1,1,1,1,1,1,1,0,0,0,0
210,25-34,M,Ed8,23,43,53,40,49,1,3,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0
211,25-34,F,Ed5,43,41,36,43,32,8,8,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0
212,45-54,F,Ed2,29,36,38,50,48,1,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0
213,25-34,F,Ed6,37,44,40,54,46,3,2,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0
214,45-54,F,Ed6,41,39,37,49,43,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0
215,25-34,F,Ed6,34,47,49,51,50,4,9,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0
216,25-34,F,Ed7,51,38,41,50,39,4,6,1,1,1,1,1,1,1,1,0,1,1,0,0,0,0
217,25-34,F,Ed6,38,47,48,52,42,6,8,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0
218,35-44,M,Ed6,48,45,49,52,29,8,8,1,0,0,1,1,1,1,0,0,1,0,0,1,0,0
219,25-34,F,Ed8,39,47,40,36,47,3,4,1,1,0,1,1,1,1,1,0,0,0,0,0,0,0
220,35-44,F,Ed5,32,36,47,50,44,1,3,1,1,1,1,1,0,1,0,0,1,0,0,0,0,0
221,18-24,F,Ed7,44,38,48,43,43,4,6,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0
222,25-34,F,Ed7,34,43,43,38,48,5,4,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0
223,35-44,F,Ed7,33,44,51,50,44,7,9,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0
224,55-64,M,Ed7,25,47,44,50,48,3,6,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
225,45-54,F,Ed7,31,49,48,46,47,3,5,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
226,35-44,F,Ed7,24,44,52,40,44,1,1,1,1,1,1,1,1,0,0,0,1,1,0,0,0,0
227,45-54,F,Ed7,31,43,41,52,51,3,3,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0
228,18-24,M,Ed5,38,46,39,39,46,7,7,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0
229,45-54,M,Ed8,29,42,46,38,41,4,6,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0
230,45-54,F,Ed7,26,49,47,49,52,1,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0
231,35-44,F,Ed6,46,23,33,47,45,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0
232,65+,F,Ed8,37,32,43,40,44,3,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0
233,25-34,F,Ed7,36,48,46,44,47,5,8,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0
234,45-54,M,Ed7,29,45,36,49,44,5,7,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0
235,25-34,F,Ed7,40,46,46,37,52,4,7,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0
236,25-34,F,Ed6,36,46,37,56,54,1,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0
237,25-34,F,Ed8,50,42,45,46,45,4,5,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0
238,25-34,F,Ed2,45,39,30,45,50,1,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0
239,18-24,F,Ed4,41,39,41,39,44,3,5,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0
240,45-54,F,Ed6,20,44,51,53,44,1,3,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0
