name,cuisine,inspection_date,score,critical
ILILI RESTAURANT,Mediterranean,10/20/2024,7,1
BROOKLYN DINER,American,04/18/2023,9,0
DUNKIN',Donuts,01/06/2023,9,1
SUN SAI GAI RESTAURANT,Chinese,03/10/2023,67,1
KING,French,10/12/2024,23,1
BOMBAY GRILL HOUSE,Indian,07/18/2024,28,1
IL PUNTO RISTORANTE,Italian,10/02/2024,12,1
TARTINE,French,08/13/2024,25,1
PETRARCA,Italian,12/05/2023,43,1
PINKBERRY,Frozen Desserts,04/07/2022,0,0
MAZETE,Japanese,06/27/2022,12,1
JAJAJA MEXICANA,Mexican,09/12/2022,33,1
AMBER SUSHI,Japanese,08/15/2024,62,0
PEPPA'S JERK CHICKEN,Soul Food,08/17/2023,13,1
DOMINO'S,Pizza,01/10/2022,30,0
JUSTINO'S PIZZERIA,Pizza,12/17/2024,44,1
MUI KITCHEN & BAR,Korean,07/05/2022,11,1
PENN SUSHI,Japanese,02/14/2025,21,1
TAIM,Vegan,05/02/2023,13,1
GRAND SICHUAN EASTERN,Chinese,09/21/2023,15,1
VILLAGE SQUARE PIZZA,Pizza,10/25/2022,31,1
BAR SIX,French,02/02/2022,46,1
5 NAPKIN BURGER,Hamburgers,04/19/2022,12,0
SWEETGREEN,Salads,09/30/2021,12,1
MAMAN,French,08/10/2022,10,1
GOTHAM PIZZA,Pizza,10/17/2024,32,0
INTERNATIONAL WINGS FACTORY,Chicken,10/05/2022,31,1
BOBBY VAN'S GRILL,Steakhouse,02/13/2025,23,0
SUSHI YOU,Japanese,04/21/2022,12,1
SUSHI W,Japanese,03/06/2023,10,1
ELIM BISTRO,Sandwiches,01/25/2024,42,1
DILL & PARSLEY,Mediterranean,01/31/2024,11,1
MISTA OH,Korean,12/01/2023,48,1
NEW FRESH WOK,Chinese,07/24/2024,49,1
EAR INN,American,02/11/2025,40,1
FASANO,Italian,05/22/2024,7,0
THE COPPER STILL,Irish,09/01/2021,13,0
AMORINO,Frozen Desserts,07/07/2022,11,1
EL PITALLITO RESTAURANT,Spanish,02/06/2023,11,1
AFRICA KINE,African,09/06/2024,34,1
BLACK SEED BAGELS,Bagels/Pretzels,04/05/2022,17,0
ANDAZ 5TH AVENUE,American,05/24/2022,9,0
BING & NOODLES BY CHOW HOUSE,Chinese,04/25/2024,28,0
SUSHI YASAKA,Japanese,05/09/2022,47,1
DOUZO,Japanese,06/11/2024,22,1
MEZCALI,Mexican,05/22/2023,44,1
KAZUNORI,Japanese,10/31/2024,7,1
DAVIDOVICH BAKERY,Bakery Products/Desserts,03/11/2025,33,0
NEW DYNASTY,Chinese,02/16/2022,34,1
MEE SUM CAFE,Coffee/Tea,06/20/2023,54,1
COFFEE BAR,Coffee/Tea,05/26/2023,9,1
DELIS 48,American,03/18/2022,9,1
SPRINGHILL SUITES & FAIRFIELD INN & SUITES,American,06/03/2022,26,1
CAFE MADISON,Coffee/Tea,05/12/2022,29,1
UNDERGROUND PIZZA,Pizza,05/31/2022,12,1
ODD SISTER,Italian,04/27/2022,27,0
OKIBORU,Japanese,01/16/2025,93,1
FIELDTRIP,African,04/25/2024,52,1
GNOCCHERIA BY LUZZO'S,Italian,04/16/2024,13,1
AVIATOR GRILL AT INTREPID,American,06/09/2022,30,1
SUBWAY,Sandwiches,09/03/2024,21,1
S & P Lunch,American,01/27/2025,27,1
FAMOUS BAGEL BUFFET,American,01/23/2024,12,1
THE GREEK KITCHEN,Greek,12/10/2024,7,1
SEMPRE OGGI,Italian,02/12/2025,27,1
RITENOW,American,06/27/2022,13,1
POULET SANS TETE,Chicken,12/09/2024,9,1
EMPIRE III,Chinese,12/09/2024,25,0
HUB THAI,Thai,02/13/2025,22,1
THE WORLD BAR,American,02/25/2020,5,0
KENNEDY CHICKEN & BURGERS,Chicken,04/06/2022,12,0
ROBUSTA ESPRESSO BAR,Coffee/Tea,10/02/2024,13,1
INTI N.Y.C.,Peruvian,07/24/2024,35,1
MEME,Mediterranean,08/22/2022,0,0
MOMO SUSHI,Japanese,11/15/2024,40,1
ANDY'S DELI,American,04/27/2023,29,1
WALLSE RESTAURANT,German,03/13/2024,39,1
BLONDIES,American,08/23/2023,13,1
230 FIFTH,American,03/26/2024,12,1
NONNA BEPPA,Italian,05/29/2024,24,1
ORAMEN,Japanese,07/06/2022,49,1
886,Asian/Asian Fusion,09/26/2023,37,0
HWA YUAN SZECHUAN,Chinese,08/11/2022,48,1
STUDIO 9C,American,06/14/2022,29,1
HUNAN SLURP SHOP,Chinese,03/11/2025,63,1
SUPERMOON BAKEHOUSE,Bakery Products/Desserts,01/04/2024,13,1
HOLE IN THE WALL,American,08/26/2024,37,1
CAFE LUCE,Italian,11/21/2023,13,1
SIP SAK,Turkish,07/14/2023,9,0
BOWERY ROAD,American,07/17/2024,32,1
DRAGON SUSHI OF 8 AVENUE,Japanese,12/15/2021,18,0
B&H Dairy Lunch,Jewish/Kosher,01/11/2024,12,0
LA BERGAMOTE,French,06/18/2024,41,1
NAYA,Lebanese,03/13/2024,13,0
BARBUTO WEST,Italian,05/02/2022,47,1
GINA LA FORNARINA,Italian,06/28/2023,10,0
PEPPA'S JERK CHICKEN,Soul Food,11/14/2024,7,0
FISH & SHRIMP RESTAURANT SPOT,Latin American,08/02/2022,75,0
POPEYES,Chicken,07/01/2024,23,0
OBICA MOZZARELLA BAR,Italian,01/17/2025,22,0
STARBUCKS,Coffee/Tea,07/18/2022,23,1
PERK KAFE,Coffee/Tea,09/21/2023,35,0
THE FITZ,American,02/14/2022,9,1
HORUS TOO,Egyptian,05/30/2024,17,1
JERK OFF THE GRILL,Caribbean,03/17/2023,9,0
NEW YORK PIZZA SUPREMA,Pizza,07/17/2023,20,1
GOLDEN KRUST CARIBBEAN BAKERY & GRILL,Caribbean,01/03/2022,4,0
PAPPARDELLA,Italian,12/26/2024,12,0
CHIPILO ITALIAN SANDWICH SHOP,Italian,10/17/2023,12,0
RUMPUS ROOM,American,06/28/2016,17,1
77 WEST BISTRO,American,07/02/2024,21,0
NEW 94TH EAST BROADWAY,Chinese,12/07/2024,11,1
DOS TOROS,Mexican,07/15/2024,48,1
FAMOUS FAMIGLIA PIZZERIA,Pizza,07/22/2024,13,0
La Amistad Pizzeria & Grill,American,08/23/2024,39,0
ABOUT COFFEE,Coffee/Tea,04/08/2022,5,1
"CRIF DOGS, PLEASE DON'T TELL",Hotdogs,12/07/2021,15,1
SABAI,Thai,12/02/2022,8,1
BAYARD SUSHI,Japanese,03/02/2022,39,1
SHAKE SHACK,Hamburgers,06/24/2024,8,1
SUN HONG WONG SEAFOOD RESTAURANT,Chinese,01/07/2025,25,1
SIMO PIZZA,Italian,03/31/2023,19,0
DILL & PARSLEY,Mediterranean,06/16/2022,0,1
ALOAF CAFE,Bakery Products/Desserts,07/07/2022,27,0
THE JOLLY GOAT COFFEE BAR,Coffee/Tea,01/25/2024,7,1
LITTLE KIRIN,Asian/Asian Fusion,11/04/2024,6,0
DUNKIN #363522,Coffee/Tea,01/16/2024,20,1
STARBUCKS,Coffee/Tea,10/26/2023,13,1
N'Roll,Japanese,01/28/2023,7,1
SORATE,Coffee/Tea,12/28/2023,11,0
PADI D' NYC,Asian/Asian Fusion,04/10/2024,25,1
JERSEY MIKE'S 34083,Sandwiches,06/20/2023,8,0
CAFE AT SAKS FIFTH AVENUE,Coffee/Tea,03/08/2022,2,0
PURPLE WAVES,American,02/06/2024,20,1
PIZZA FOTO,Pizza,03/12/2024,40,1
VILLA MOSCONI RESTAURANT,Italian,03/14/2024,25,1
CHICKEN RICE,Chicken,12/19/2022,22,0
PASTA LOVERS TRATTORIA,Italian,01/14/2022,13,1
THE RIVER CLUB,American,03/31/2022,28,1
CHARLIE'S PIZZA,Pizza,06/12/2023,32,0
SUBWAY,Sandwiches,03/24/2022,5,0
ABRACO,Coffee/Tea,07/19/2022,23,1
THE COPPOLA CAFE,Italian,02/28/2022,0,0
ANGLERS CLUB OF NEW YORK,American,03/16/2023,12,1
JING FONG,Chinese,01/07/2023,24,1
HEALTHY FRENCHY JUICE BAR,"Juice, Smoothies, Fruit Salads",01/28/2025,11,1
CINEMA VILLAGE,American,09/29/2022,5,0
Burger Man,American,06/21/2023,29,1
VIETNAAM,Southeast Asian,02/07/2023,35,0
SPRINGBONE,Pizza,12/17/2024,28,0
PIPPALI,Indian,07/18/2024,12,0
PAOLA'S OSTERIA,Italian,12/20/2022,23,0
TOP THAI,Thai,01/17/2023,49,0
LITTLE ITALY PIZZA,Pizza,04/11/2024,11,0
RISE BAR,American,08/11/2022,28,0
TEXAS CHICKEN,Chicken,01/13/2025,13,1
Chick-fil-A,American,08/15/2024,8,0
DD SOUP DUMPLING,Asian/Asian Fusion,08/15/2024,63,1
JEFFREY'S GROCERY,Seafood,08/15/2024,21,1
CHAMPIGNON CAFÉ,Coffee/Tea,01/15/2025,13,0
MCDONALD'S,Hamburgers,09/10/2024,20,0
WENDY'S,Hamburgers,03/01/2023,19,1
SIX HAPPINESS TO GO,Chinese,01/19/2023,36,1
SUSHI OUJI,Japanese,03/05/2024,22,0
STICKY'S FINGER JOINT,Chicken,10/27/2022,5,1
HILLTOP PARK ALEHOUSE,American,09/21/2022,0,1
CALAVERAS CORNER,American,05/02/2023,29,1
REX,Coffee/Tea,06/16/2023,39,1
NICE ONE BAKERY,Bakery Products/Desserts,10/02/2024,27,1
BEST PIZZA ON 1ST.,Pizza,03/17/2022,13,1
JOE'S GINGER RESTAURANT,Chinese,04/12/2022,43,1
SUBWAY,Sandwiches,01/25/2022,30,0
MANNA ONE BAKERY,Bakery Products/Desserts,08/12/2021,13,0
NEW DYNASTY,Chinese,09/19/2022,0,1
HOUSING WORKS FOOD,American,05/09/2023,10,0
BOBA WHALE,Coffee/Tea,06/23/2023,11,0
TAKAHACHI BAKERY,Bakery Products/Desserts,08/26/2022,25,0
AGATA & VALENTINA,Sandwiches/Salads/Mixed Buffet,11/26/2024,19,1
CANTINA CAQUERIA & TEQUILIA BAR,Mexican,08/16/2023,27,1
"BAKED BY LUIGI, NYC PIZZA",Pizza,02/06/2025,25,0
MISS LILY'S 7A,Caribbean,04/16/2024,10,0
WETZELS PRETZELS,Other,07/05/2022,0,1
PERA SOHO,Turkish,08/24/2021,23,1
GREEN KITCHEN,American,08/08/2023,6,0
BITES OF XI'AN,Chinese,03/30/2023,32,1
LA BOITE,American,04/19/2022,2,0
LE PHIN,American,10/19/2022,28,1
LA RUBIA RESTAURANT,Spanish,10/31/2024,32,0
ETHOS GALLERY,Greek,04/13/2022,38,1
NEW SAN FRANCISCO RESTAURANT,Latin American,10/02/2024,12,0
TEXAS CHICKEN AND BURGERS,Chicken,01/30/2025,11,0
Dell'Aria,Coffee/Tea,03/14/2023,33,0
EQX ROCKEFELLER CAFE,American,02/10/2023,10,1
PLAYA BOWLS,"Juice, Smoothies, Fruit Salads",02/14/2025,10,1
SUBWAY,Sandwiches,05/30/2024,10,1
VIVI BUBBLE TEA,Coffee/Tea,09/13/2022,22,0
SOPHIE'S CUBAN CUISINE,Latin American,05/09/2022,4,0
E-MO KIMBOB,Korean,06/28/2023,2,0
THINK COFFEE,Coffee/Tea,10/17/2022,12,0
SUBWAY,Sandwiches,10/20/2023,37,1
BARNARD COLLEGE HEWITT DINING HALL,American,11/15/2021,14,1
KABOOZ'S BAR & GRILLE,American,09/29/2022,13,0
COFFEE AT ANAGRAM,American,04/22/2024,13,1
STARBUCKS,Coffee/Tea,12/12/2023,24,0
YARA,Mediterranean,11/06/2023,16,0
OBAO,Thai,04/26/2022,77,0
MAJORELLE,French,02/05/2019,25,1
WILDACRE ROTISSERIE,Chicken,11/20/2024,13,0
STARBUCKS,Coffee/Tea,01/18/2024,5,0
KISMAT INDIAN CUISINE,Indian,01/30/2023,64,1
COCO FRESH TEA & JUICE,"Juice, Smoothies, Fruit Salads",03/04/2024,11,0
NEW KIM TUONG RESTAURANT,Chinese,05/10/2024,23,1
AMATA,Italian,10/29/2024,25,1
787 COFFEE,Mexican,06/29/2023,48,0
CICCIO,Italian,01/02/2020,33,1
SINIGUAL,Mexican,12/16/2024,19,1
EL CABRON TAQUERIA,Mexican,04/25/2023,11,1
EXQUISITE VIBEZ LLC,Caribbean,02/25/2025,40,1
DAISY DUKES HONKY TONK,American,10/29/2024,74,1
DUNKIN' DONUTS/BASKIN ROBBINS,Donuts,12/09/2024,13,0
NY BAKERY & DESSERTS,Bakery Products/Desserts,08/04/2023,20,1
POCHA 32,Korean,02/16/2022,32,1
MILLENIUM HILTON,American,08/13/2024,12,1
KAZUNORI,Japanese,03/21/2022,11,0
ANTONUCCI,Italian,12/15/2022,12,0
SOB'S,Latin American,10/09/2024,7,0
CREPES ON COLUMBUS,French,11/30/2022,69,1
DON GIOVANNI RESTAURANT,Italian,11/30/2022,23,1
KYMA,Greek,02/23/2023,9,1
TIGER SUGAR,Coffee/Tea,05/17/2022,0,1
THE YALE CLUB,American,09/17/2024,12,0
SUGAR HILL CREAMERY,Frozen Desserts,11/17/2021,11,0
JOHN JAY DINING HALL,American,10/19/2023,13,0
LA TROPEZIENNE BAKERY,Bakery Products/Desserts,04/04/2024,9,1
ROSECRANS,Coffee/Tea,05/24/2023,26,1
PANDA EXPRESS # 2792,Chinese,07/31/2024,9,0
TEPPEN RAMEN,Japanese,05/09/2024,22,0
TACO BELL CANTINA #034646,Tex-Mex,06/10/2024,9,0
ROSSINI'S,Italian,05/21/2024,45,0
SIP + CO,Coffee/Tea,07/07/2022,13,1
SEMICOLON,Coffee/Tea,08/16/2022,74,1
NEW GOLDEN STAR RESTAURANT,Chinese,01/10/2023,35,1
RAENU THAI,Thai,08/24/2022,42,1
BAGEL BOSS,Jewish/Kosher,08/27/2024,31,0
"TAP ROOM, GRAB & GO",American,03/24/2023,11,0
MAGURO SUSHI,Japanese,06/17/2024,11,1
YAKINIKU FUTAGO,Japanese,08/08/2024,97,1
MAMAN,French,05/24/2024,9,1
FELICE 56,Italian,04/05/2023,13,1
SOB'S,Latin American,10/09/2024,7,0
SUBWAY,Sandwiches,11/15/2021,9,1
DENINO'S PIZZERIA & TAVERN,Pizza,04/28/2023,26,1
FORTY CARROTS,Coffee/Tea,12/27/2022,26,1
COCO FRESH TEA & JUICE,"Juice, Smoothies, Fruit Salads",01/15/2025,13,0
PIANOS,American,03/10/2022,17,1
OSCAR'S PLACE,English,05/29/2024,4,0
JUST SALAD 1412 BROADWAY,Salads,12/06/2021,13,0
COWGIRL SEAHORSE,Seafood,08/30/2021,14,1
DUNKIN,Donuts,03/07/2024,12,0
BREAKFAST BY SALT'S CURE,American,05/28/2024,12,0
THE PUBLIC NEW YORK,American,07/26/2022,35,0
MOMOYA,Japanese,05/03/2023,9,0
LARUSTICA PIZZA,Pizza,03/02/2022,42,1
RAFAEL,Mediterranean,09/10/2024,19,1
DUNKIN,Donuts,02/13/2025,12,0
A SLICE OF NEW YORK,Pizza,01/02/2025,31,1
YORKVILLE BAGEL & CAFE,American,08/08/2022,0,0
PURE GREEN,"Juice, Smoothies, Fruit Salads",03/05/2025,8,1
ITALIAN VILLAGE,Pizza,08/31/2022,33,0
SPRINGBONE KITCHEN,American,01/31/2024,6,0
LES GATEAUX DE MARIE,Bakery Products/Desserts,07/18/2023,36,0
CLOVES INDIAN CUISINE,Indian,02/27/2024,12,1
DEBUTEA,Coffee/Tea,10/15/2024,22,0
STARBUCKS,Coffee/Tea,10/08/2024,2,0
RECREATION AT MOXY DOWNTOWN,American,11/29/2023,13,1
LUCCIOLA,Italian,01/25/2023,8,1
VIAND COFFEE SHOP,Greek,09/19/2022,8,1
EXCLUSIVE PIZZA,Pizza,11/22/2022,38,1
LENA'S ITALIAN KITCHEN,Italian,01/19/2022,27,1
JUICE PRESS @ EQUINOX,"Juice, Smoothies, Fruit Salads",11/29/2023,76,1
TRATTORIA PESCHE PASTA,Italian,08/12/2021,35,1
DOUBLE CHICKEN PLEASE,Chicken,02/29/2024,7,1
FLUFFIES HOT CHICKEN,American,12/31/2024,49,0
RESTAURANTE ECUATORIANO GENESIS,Latin American,04/17/2024,23,1
THE ROOF,American,03/04/2025,20,1
H&H MIDTOWN BAGELS EAST,Bagels/Pretzels,10/13/2022,17,1
ICHIRAN TIMES SQUARE,Japanese,04/18/2022,12,0
LE PAIN QUOTIDIEN,French,12/07/2023,13,0
GREENWICH VILLAGE COMEDY CLUB,American,10/16/2024,32,1
BLUE MAIZ,Mexican,10/17/2024,9,0
GOLDEN BOWL RESTAURANT,Chinese,06/13/2022,20,1
YUE LAI BAKERY,Bakery Products/Desserts,02/27/2025,20,1
TEXAS CHICKEN & BURGERS,Chicken,01/11/2022,9,0
PIZZA SHACK,Pizza,04/10/2024,32,1
GAMMEEOK,Korean,01/18/2023,79,1
LITTLE GEM CATERING + EVENTS,American,03/27/2024,2,0
WENDY'S,American,02/23/2022,0,1
LIBRARY BAR AT SHERATON NEW YORK TIMES SQUARE,Coffee/Tea,04/18/2023,54,0
TOLOACHE,Mexican,09/19/2024,47,1
SOPHIE'S CUBAN CUISINE,Latin American,04/15/2024,11,0
RAMEN DANBO,Japanese,06/01/2022,11,1
HAMPTON INN EMPIRE STATE BUILDING,American,04/11/2022,29,1
$1.50 FRESH PIZZA & HOT DOG,Pizza,05/18/2023,64,1
CORK & KALE (EVEN HOTEL NEW YORK-MIDTOWN EAST),American,08/18/2022,42,0
PIZZA CONCESSION,Pizza,02/01/2025,2,0
HARLEM TAVERN,Coffee/Tea,10/23/2024,69,0
MOMOFUKU NOODLE BAR,Asian/Asian Fusion,08/31/2022,32,0
THE HAROLD,American,05/11/2022,0,1
FIVE NAPKIN BURGER,American,08/09/2022,0,1
CHINA WOK KITCHEN,Chinese,01/20/2022,18,1
CHARM THAI CORP,Thai,08/09/2022,13,0
TOMO21 SUSHI,Japanese,01/11/2024,34,1
WENDY'S,American,02/07/2022,0,0
RUSTY'S FLAVOR,Caribbean,06/27/2022,0,1
BITES OF XI'AN,Chinese,02/03/2025,26,0
SO GONG DONG KOREAN BBQ,Korean,04/23/2024,19,1
VIN SUR VINGT,French,03/15/2022,55,1
FACTORY TAMAL,Mexican,05/04/2022,7,0
CHELSEA JUICE,"Juice, Smoothies, Fruit Salads",05/15/2024,17,1
DISTRICT LOCAL,American,09/12/2024,34,1
PONTY BISTRO,French,11/21/2022,16,0
M AND PIZZA,Pizza,07/31/2024,46,1
SANDWICH HOUSE ITALIAN RESTAURANT,Sandwiches,06/14/2022,0,0
QUE SABROSURA # 2,Latin American,09/18/2024,27,0
QUAN SUSHI & GRILL,Japanese,05/19/2022,60,1
DUNKIN' DONUTS,Donuts,07/21/2021,8,1
KENNEDY CHICKEN & BURGERS,Chicken,05/06/2024,13,0
BOCADITO BISTRO,Eastern European,04/17/2024,48,1
MR. CAPRI,Italian,05/25/2023,11,1
KAVASUTRA,American,11/16/2022,12,1
EL TINA FISH MARKET & SEAFOOD RESTAURANT,Seafood,12/20/2024,13,0
PARADIS IN THE PARK,American,07/25/2024,15,0
TAURO RESTAURANT,Latin American,04/13/2023,26,1
LE PAIN QUOTIDIEN,French,11/25/2022,34,1
BENTO NYC,Chinese,05/21/2024,24,1
PERA SOHO,Turkish,05/10/2023,45,0
GINGER & LEMONGRASS LES,Southeast Asian,01/26/2022,70,1
PENNYLANE COFFEE,Coffee/Tea,09/19/2024,18,0
KOBA KOREAN BBQ,Korean,07/11/2024,41,1
AVE D PIZZERIA,Pizza,01/26/2023,61,1
COFFEE PROJECT NEW YORK,Coffee/Tea,12/27/2023,22,0
SWEETGREEN,Salads,06/22/2023,4,0
CHOCOLATE DIP,Frozen Desserts,06/07/2022,35,0
HAVANA SOCIAL,Latin American,01/27/2023,27,1
TWO HANDS TRIBECA,Australian,06/27/2024,21,1
YUNNAN RICE NOODLE HOUSE,Chinese,11/19/2024,24,1
LILLIE'S RESTAURANT,American,03/29/2022,8,0
LA PARISIENNE,French,04/21/2023,22,0
LA ESQUINA,Mexican,05/15/2024,24,0
UNION SQUARE CAFE/ DAILY PROVISIONS,American,10/07/2019,9,0
WALLSE NEXT DOOR,French,12/07/2023,13,1
EFFYS CAFE,Jewish/Kosher,03/23/2023,8,0
CULTURE 307,Coffee/Tea,01/18/2023,19,0
DUNKIN DONUTS,Donuts,08/15/2022,9,0
HOMEWOOD SUITES BY HILTON NEW YORK MIDTOWN MANHATTAN TIMES SQUARE,American,02/10/2023,13,1
KIRKLAND & ELLIS CONFERENCE ROOMS,American,05/15/2023,13,0
PASTIS,French,11/15/2022,11,0
STARBUCKS,Coffee/Tea,03/26/2024,28,0
THE LIONS BAR & GRILL,French,01/02/2025,20,0
EMPANADAS MONUMENTAL,Latin American,06/27/2023,31,1
NODA,Japanese,01/23/2024,20,0
KONA COFFEE AND COMPANY,Coffee/Tea,01/27/2022,44,0
PICCOLA TRATTORIA,Pizza,07/26/2024,11,0
CAPIZZI,Pizza,12/09/2022,40,1
EMPIRE III,Chinese,07/29/2024,17,1
RED LOBSTER,Seafood,06/27/2022,29,0
BARNEY GREENGRASS,Jewish/Kosher,10/24/2024,37,0
MOM'S MIDTOWN,American,12/17/2024,13,0
CHIPOTLE MEXICAN GRILL,Tex-Mex,04/28/2022,23,0
ROYAL NAPOLI PIZZA,Pizza,09/20/2023,51,1
GRAND TIER RESTAURANT @ METROPOLITAN OPERA,American,11/07/2018,35,1
CITADINES CONNECT,Continental,06/23/2023,27,1
JACKS COFFEE,Coffee/Tea,02/25/2025,14,0
PANNA II GARDEN INDIAN RESTAURANT,Indian,07/24/2024,121,1
CHA CHA MATCHA,Coffee/Tea,06/18/2024,31,1
PIERS PIZZA COMPANY,Pizza,12/18/2023,7,1
GNOCCHERIA BY LUZZO'S,Italian,09/06/2022,12,1
SERAFINA AT THE TIME HOTEL,Italian,12/05/2023,43,0
BAR 135,American,10/12/2022,11,0
DSALAM AFRICAN CUISINE,African,12/10/2024,40,1
PEPOLINO,Italian,08/25/2021,14,1
NAM SON RESTAURANT,Asian/Asian Fusion,03/30/2022,42,0
BAKERY ON 3RD CAFE,Bakery Products/Desserts,03/23/2022,28,0
JOHN SULLIVAN'S PUB,Irish,06/25/2024,42,0
JUST SALAD,Salads,03/24/2022,0,1
LITTLE RUBY'S,American,01/10/2023,29,1
BLUE SPOON,American,04/26/2022,50,1
THE ROSE,American,08/22/2023,32,0
MADMAN ESPRESSO,Coffee/Tea,06/07/2022,22,1
SERAFINA,American,07/25/2023,25,0
THE HUMMUS & PITA CO.,Mediterranean,06/07/2022,13,0
"MISS KOREA BARBECUE ""SUN""",Korean,05/16/2023,13,0
MILLE-FEUILLE BAKERY CAFE,Bakery Products/Desserts,08/20/2021,13,1
PLAYA BOWLS,"Juice, Smoothies, Fruit Salads",10/17/2024,42,0
JADE DRAGON,Chinese,12/26/2024,71,0
THE RED GRILL MEXICAN RESTAURANT,Mexican,10/24/2022,45,1
KATSU-HAMA,Japanese,04/19/2022,13,0
BACALL'S,American,09/22/2022,44,1
LIL FRANKIE'S PIZZA,Italian,09/07/2021,25,1
BLACK SEED BAGELS,Bagels/Pretzels,12/14/2021,13,0
RITENOW,American,11/02/2023,12,1
Sami & Susu,Mediterranean,10/29/2024,22,0
GAIA RESTAURANT,Mediterranean,10/22/2024,19,0
RASPBERRY DELI & GROCERY,Sandwiches,09/06/2024,28,0
GARDENIA DELI,Sandwiches,05/19/2023,67,0
AC HOTEL NEW YORK DOWNTOWN,American,06/24/2024,48,1
BAAR BAAR,Indian,06/07/2022,23,0
JAVELINA,Tex-Mex,06/20/2024,21,0
MIGHTY BOWL,Asian/Asian Fusion,03/10/2022,9,0
HER BOBA,Coffee/Tea,02/27/2023,103,1
DEATH AVENUE: TAP ROOM,American,06/14/2022,11,0
CHOP'T,American,06/02/2023,5,0
BA'AL CAFE AND FALAFEL,Mediterranean,01/16/2025,13,1
MOTORINO PIZZERIA NAPOLETANA,Pizza,03/29/2022,20,1
ANDY'S DELI,American,06/27/2023,13,1
GEORGE.,American,12/17/2024,27,1
LA CATRINA MEXICAN BISTRO,Mexican,12/06/2023,21,1
METRO MARCHE,American,01/20/2023,12,1
NOW OR NEVER COFFEE,Coffee/Tea,05/12/2022,0,0
EMPIRE CORNER II,Chinese,08/19/2021,34,1
JOE & THE JUICE,Coffee/Tea,03/17/2023,56,0
AUDREY BAKERY & CAFÉ,Bakery Products/Desserts,05/16/2024,7,1
FORD FOUNDATION-WORLD CAFE,Continental,04/11/2022,12,1
